COOLING PLATE 1 ,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,806.75,1240.08
17,825.5,1229.25
18,848.5,1269.09
19,877.08,1252.59
20,1081.26,1081.26
21,1230.76,903.1
22,1397.49,614.31
23,1477.03,395.77
24,1523.32,133.27
25,1523.32,-40.28
26,1477.32,-40.28
27,1477.32,-74.01
28,1428.95,-46.08
29,1345.13,-94.48
30,1261.31,-46.08
31,1177.49,-94.48
32,1093.67,-46.08
33,1009.84,-94.48
34,926.02,-46.08
35,842.2,-94.48
36,758.38,-46.08
37,674.56,-94.48
38,590.74,-46.08
39,506.92,-94.48
40,423.1,-46.08
41,339.28,-94.48
42,315,-80.46
43,315,84.4
,,
COOLING PLATE 2,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,814.67,1244.65
17,829.46,1236.11
18,852.61,1276.2
19,881.81,1259.35
20,1087.09,1087.09
21,1246.2,897.48
22,1400.34,630.5
23,1485,397.9
24,1531.53,133.99
25,1531.53,-40.28
26,1485.23,-40.28
27,1485.23,-78.58
28,1428.95,-46.08
29,1345.13,-94.48
30,1261.31,-46.08
31,1177.49,-94.48
32,1093.67,-46.08
33,1009.84,-94.48
34,926.02,-46.08
35,842.2,-94.48
36,758.38,-46.08
37,674.56,-94.48
38,590.74,-46.08
39,506.92,-94.48
40,423.1,-46.08
41,339.28,-94.48
42,315,-80.46
43,315,84.4
,,
COOLING PLATE 3,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,822.92,1249.41
17,833.59,1243.25
18,857.04,1283.87
19,886.9,1266.63
20,1093.38,1093.38
21,1259.88,894.95
22,1404.99,643.61
23,1493.58,400.2
24,1540.38,134.77
25,1540.38,-40.28
26,1493.48,-40.28
27,1493.48,-83.34
28,1428.95,-46.08
29,1345.13,-94.48
30,1261.31,-46.08
31,1177.49,-94.48
32,1093.67,-46.08
33,1009.84,-94.48
34,926.02,-46.08
35,842.2,-94.48
36,758.38,-46.08
37,674.56,-94.48
38,590.74,-46.08
39,506.92,-94.48
40,423.1,-46.08
41,339.28,-94.48
42,315,-80.46
43,315,84.4
,,
COOLING PLATE 4,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,831.17,1254.18
17,837.71,1250.4
18,861.46,1291.54
19,892,1273.91
20,1099.66,1099.66
21,1273.91,892
22,1409.45,657.24
23,1502.16,402.5
24,1549.24,135.54
25,1549.24,-40.28
26,1501.74,-40.28
27,1501.74,-88.11
28,1428.95,-46.08
29,1345.13,-94.48
30,1261.31,-46.08
31,1177.49,-94.48
32,1093.67,-46.08
33,1009.84,-94.48
34,926.02,-46.08
35,842.2,-94.48
36,758.38,-46.08
37,674.56,-94.48
38,590.74,-46.08
39,506.92,-94.48
40,423.1,-46.08
41,339.28,-94.48
42,315,-80.46
43,315,84.4
,,
COOLING PLATE 5,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,839.52,1259
17,841.89,1257.63
18,865.89,1299.2
19,941.24,1255.7
20,1112.23,1112.23
21,1255.7,941.24
22,1442.99,616.84
23,1519.33,407.1
24,1558.09,187.29
25,1558.09,-40.28
26,1510.09,-40.28
27,1510.09,-92.93
28,1428.95,-46.08
29,1345.13,-94.48
30,1261.31,-46.08
31,1177.49,-94.48
32,1093.67,-46.08
33,1009.84,-94.48
34,926.02,-46.08
35,842.2,-94.48
36,758.38,-46.08
37,674.56,-94.48
38,590.74,-46.08
39,506.92,-94.48
40,423.1,-46.08
41,339.28,-94.48
42,315,-80.46
43,315,84.4
,,
COOLING PLATE 6,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,844.26,1261.73
17,870.32,1306.87
18,902.19,1288.46
19,1112.23,1112.23
20,1288.46,902.19
21,1425.55,664.75
22,1519.33,407.1
23,1566.94,137.09
24,1566.94,-40.28
25,1518.44,-40.28
26,1518.44,-97.75
27,1428.95,-46.08
28,1345.13,-94.48
29,1261.31,-46.08
30,1177.49,-94.48
31,1093.67,-46.08
32,1009.84,-94.48
33,926.02,-46.08
34,842.2,-94.48
35,758.38,-46.08
36,674.56,-94.48
37,590.74,-46.08
38,506.92,-94.48
39,423.1,-46.08
40,339.28,-94.48
41,315,-80.46
42,315,84.4
,,
COOLING PLATE 7,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,842.2,1260.55
17,842.2,1276.62
18,850.19,1272.01
19,874.74,1314.53
20,907.29,1295.74
21,1118.51,1118.51
22,1295.74,907.29
23,1433.61,668.5
24,1527.91,409.4
25,1575.79,137.86
26,1575.79,-40.28
27,1526.69,-40.28
28,1526.69,-86.44
29,1512.77,-94.48
30,1428.95,-46.08
31,1345.13,-94.48
32,1261.31,-46.08
33,1177.49,-94.48
34,1093.67,-46.08
35,1009.84,-94.48
36,926.02,-46.08
37,842.2,-94.48
38,758.38,-46.08
39,674.56,-94.48
40,590.74,-46.08
41,506.92,-94.48
42,423.1,-46.08
43,339.28,-94.48
44,315,-80.46
45,315,84.4
,,
COOLING PLATE 8,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,842.2,1260.55
17,842.2,1286.15
18,854.32,1279.16
19,879.17,1322.2
20,912.39,1303.02
21,1124.79,1124.79
22,1303.02,912.39
23,1441.66,672.26
24,1536.49,411.7
25,1584.64,138.64
26,1584.64,-40.28
27,1534.94,-40.28
28,1534.94,-81.67
29,1512.77,-94.48
30,1428.95,-46.08
31,1345.13,-94.48
32,1261.31,-46.08
33,1177.49,-94.48
34,1093.67,-46.08
35,1009.84,-94.48
36,926.02,-46.08
37,842.2,-94.48
38,758.38,-46.08
39,674.56,-94.48
40,590.74,-46.08
41,506.92,-94.48
42,423.1,-46.08
43,339.28,-94.48
44,315,-80.46
45,315,84.4
,,
COOLING PLATE 9,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,842.2,1260.55
17,842.2,1295.8
18,858.49,1286.39
19,883.59,1329.87
20,917.48,1310.3
21,1131.08,1131.08
22,1310.3,917.48
23,1449.71,676.01
24,1545.08,414
25,1593.5,139.41
26,1593.5,-40.28
27,1543.3,-40.28
28,1543.3,-76.85
29,1512.77,-94.48
30,1428.95,-46.08
31,1345.13,-94.48
32,1261.31,-46.08
33,1177.49,-94.48
34,1093.67,-46.08
35,1009.84,-94.48
36,926.02,-46.08
37,842.2,-94.48
38,758.38,-46.08
39,674.56,-94.48
40,590.74,-46.08
41,506.92,-94.48
42,423.1,-46.08
43,339.28,-94.48
44,315,-80.46
45,315,84.4
,,
COOLING PLATE 10,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,842.2,1260.55
17,842.2,1306.25
18,863.02,1294.23
19,888.02,1337.53
20,922.58,1317.58
21,1137.36,1137.36
22,1317.58,922.58
23,1457.77,679.77
24,1553.66,416.3
25,1602.35,140.19
26,1602.35,-40.28
27,1552.35,-40.28
28,1552.35,-71.63
29,1512.77,-94.48
30,1428.95,-46.08
31,1345.13,-94.48
32,1261.31,-46.08
33,1177.49,-94.48
34,1093.67,-46.08
35,1009.84,-94.48
36,926.02,-46.08
37,842.2,-94.48
38,758.38,-46.08
39,674.56,-94.48
40,590.74,-46.08
41,506.92,-94.48
42,423.1,-46.08
43,339.28,-94.48
44,315,-80.46
45,315,84.4
,,
COOLING PLATE 11,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,842.2,1260.55
17,842.2,1317.1
18,867.72,1302.37
19,892.92,1346.01
20,928.22,1325.63
21,1144.31,1144.31
22,1325.63,928.22
23,1466.68,683.92
24,1563.16,418.85
25,1612.14,141.04
26,1612.14,-40.28
27,1561.74,-40.28
28,1561.74,-66.2
29,1512.77,-94.48
30,1428.95,-46.08
31,1345.13,-94.48
32,1261.31,-46.08
33,1177.49,-94.48
34,1093.67,-46.08
35,1009.84,-94.48
36,926.02,-46.08
37,842.2,-94.48
38,758.38,-46.08
39,674.56,-94.48
40,590.74,-46.08
41,506.92,-94.48
42,423.1,-46.08
43,339.28,-94.48
44,315,-80.46
45,315,84.4
,,
COOLING PLATE 12,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,842.2,1260.55
17,842.2,1327.59
18,872.26,1310.24
19,897.81,1354.49
20,933.86,1333.68
21,1151.26,1151.26
22,1333.68,933.86
23,1475.59,688.08
24,1572.65,421.39
25,1621.93,141.9
26,1621.93,-40.28
27,1570.83,-40.28
28,1570.83,-60.95
29,1512.77,-94.48
30,1428.95,-46.08
31,1345.13,-94.48
32,1261.31,-46.08
33,1177.49,-94.48
34,1093.67,-46.08
35,1009.84,-94.48
36,926.02,-46.08
37,842.2,-94.48
38,758.38,-46.08
39,674.56,-94.48
40,590.74,-46.08
41,506.92,-94.48
42,423.1,-46.08
43,339.28,-94.48
44,315,-80.46
45,315,84.4
,,
COOLING PLATE 13,X,Y
1,230.89,230.09
2,255.46,244.28
3,255.46,341.07
4,339.28,389.46
5,339.28,486.25
6,423.1,534.64
7,423.1,631.43
8,506.92,679.82
9,506.92,776.61
10,590.74,825
11,590.74,921.79
12,674.56,970.18
13,674.56,1066.97
14,758.38,1115.37
15,758.38,1212.15
16,842.2,1260.55
17,842.2,1332.9
18,883.22,1309.22
19,912.47,1359.88
20,940.76,1343.55
21,1159.78,1159.78
22,1341.33,943.41
23,1487.68,689.92
24,1584.28,424.51
25,1633.93,142.95
26,1633.93,-30.28
27,1575.43,-30.28
28,1575.43,-58.3
29,1512.77,-94.48
30,1428.95,-46.08
31,1345.13,-94.48
32,1261.31,-46.08
33,1177.49,-94.48
34,1093.67,-46.08
35,1009.84,-94.48
36,926.02,-46.08
37,842.2,-94.48
38,758.38,-46.08
39,674.56,-94.48
40,590.74,-46.08
41,506.92,-94.48
42,423.1,-46.08
43,339.28,-94.48
44,315,-80.46
45,315,84.4